type,year,state,abb,standard_fed_regions,region,division,barley,corn,cotton_els,cotton_upland,oats,rice,sorghum,soybeans,sugar_beets,sugarcane,wheat
plant and fail,2012,Kansas,KS,region VII,North Central,West North Central,7712.120000000001,4573047.499999999,NA,53594.50000000001,90834.76000000008,NA,2204570.6499999985,3934014.579999999,NA,NA,9195607.919999994
plant and fail,2012,Kentucky,KY,region IV,South,East South Central,6127.5999999999995,1603458.1500000008,NA,12.5,1621.5500000000002,NA,5780.050000000001,1440245.7200000004,20.4,13.6,482049.94000000006
plant and fail,2012,Louisiana,LA,region VI,South,West South Central,NA,531876.69,NA,226186.96000000005,4563.750000000001,399461.8900000001,121621.61,1117667.94,7.26,430684.78,269320.3400000001
plant and fail,2012,Maine,ME,region I,Northeast,New England,15085.08,28936.520000000004,NA,NA,28223.01,NA,22,2177.42,NA,NA,1127.1000000000001
plant and fail,2012,Maryland,MD,region III,South,South Atlantic,57667.34999999999,448973.3099999999,NA,0.8,5246.449999999999,NA,15907.080000000002,464923.77000000014,NA,NA,301796.26999999996
plant and fail,2012,Massachusetts,MA,region I,Northeast,New England,10.2,17995.090000000004,NA,NA,164.14,NA,81.85000000000001,807.03999999999985,NA,NA,187.45
plant and fail,2012,Michigan,MI,region V,North Central,East North Central,7493.7,2515124.8000000007,NA,NA,34105.179999999986,NA,351.50000000000006,1900321.9800000007,154093.75000000003,NA,524047.98000000004
plant and fail,2012,Minnesota,MN,region V,North Central,West North Central,107121.39999999997,8722855.059999991,NA,NA,135574.06,NA,1119.1,6951649.990000002,473152.48000000004,NA,1307214.8200000003
plant and fail,2012,Mississippi,MS,region IV,South,East South Central,NA,779648.5499999996,NA,466300.03,2439.9,126559.92,42581.38999999999,1947529.2,NA,NA,323945.0200000001
plant and fail,2012,Missouri,MO,region VII,North Central,West North Central,3071.98,3474189.369999998,NA,348344.63999999996,10717.47,177979.59,55296.58,5356095.3100000005,NA,NA,740770.12
plant and fail,2012,Montana,MT,region VIII,West,Mountain,850534.89,98881.98999999999,NA,NA,36451.03999999999,NA,2132.69,8132.3099999999995,46196.09,NA,5572078.449999999
plant and fail,2012,Nebraska,NE,region VII,North Central,West North Central,3071.9299999999994,9934108.390000002,NA,5,64441.83999999994,NA,57836.66000000003,5011741.98,50447.64000000001,NA,1343468.750000001
plant and fail,2012,Nevada,NV,region IX,West,Mountain,1399.1299999999999,3546.8,NA,NA,1368.91,NA,207.14,NA,NA,NA,19191.039999999997
plant and fail,2012,New Hampshire,NH,region I,Northeast,New England,0.7,12980.730000000001,NA,NA,52.1,NA,33.25,27.189999999999998,NA,NA,0.7
plant and fail,2012,New Jersey,NJ,region II,Northeast,Middle Atlantic,2938.5000000000005,84362.73000000001,NA,NA,1561.8000000000002,NA,729.6500000000001,91465.71,29.1,NA,22192.569999999996
plant and fail,2012,New Mexico,NM,region VI,West,Mountain,5538.68,116245.09,2272.82,45987.04999999999,14575.21,NA,75783.64000000003,NA,NA,NA,429836.32
plant and fail,2012,New York,NY,region II,Northeast,Middle Atlantic,7261.739999999997,1059533.1900000002,NA,NA,53371.77000000002,0.2,895.62,301928.5500000001,0.01,NA,85803.86999999998
plant and fail,2012,North Carolina,NC,region IV,South,South Atlantic,19549.210000000003,826055.9499999998,NA,577653.3500000002,18122.469999999998,NA,70366.21,1563256.3800000004,0.2,46.9,744037.4900000005
plant and fail,2012,North Dakota,ND,region VIII,North Central,West North Central,974000.19,3494123.5199999986,NA,NA,173406.1799999999,NA,898.6999999999999,4673028.6400000015,222746.9,NA,7654925.33
plant and fail,2012,Ohio,OH,region V,North Central,East North Central,2471.3199999999993,3816108.4099999988,NA,NA,23857.97000000001,NA,939.4000000000001,4538487.14,1.85,NA,472220.1200000001
plant and fail,2012,Oklahoma,OK,region VI,South,West South Central,17059.789999999997,329630.5499999998,66,296299.3000000001,44823.829999999965,NA,246913.41999999998,410483.46,NA,NA,5215404.12
plant and fail,2012,Oregon,OR,region X,West,Pacific,47128.439999999995,97812.93999999994,NA,NA,21829,NA,370.1,313.6,12774.78,NA,799732.2300000001
plant and fail,2012,Pennsylvania,PA,region III,Northeast,Middle Atlantic,35242.10999999999,961370.980000001,NA,NA,53504.230000000025,NA,1732.3100000000006,456932.49000000005,NA,NA,103594.44999999997
plant and fail,2012,Puerto Rico,PR,region II,NA,NA,NA,14.3,NA,NA,NA,NA,NA,NA,NA,2,NA
plant and fail,2012,Rhode Island,RI,region I,Northeast,New England,NA,1537.91,NA,NA,4.720000000000001,NA,NA,4,NA,NA,NA
plant and fail,2012,South Carolina,SC,region IV,South,South Atlantic,1555.9,297570.64000000013,NA,295340.15000000014,15702.28,37.3,15080.119999999999,361613.38999999984,NA,0.6,209739.5800000001
plant and fail,2012,South Dakota,SD,region VIII,North Central,West North Central,31027.090000000007,5987169.740000002,NA,NA,149358.83,NA,123227.36,4643274.75,NA,NA,2299131.149999999
plant and fail,2012,Tennessee,TN,region IV,South,East South Central,2548.17,975954.0099999999,40.4,373342.88,2596.830000000001,231.5,17197.38,1206198.8400000003,NA,1.6,349787.9099999999
plant and fail,2012,Texas,TX,region VI,South,West South Central,49452.66000000002,1776497.0900000003,7817.889999999999,6427576.080000001,292175.61,131414.62,2176267.3000000017,119048.49999999997,NA,39489.25,5327768.620000009
plant and fail,2012,Utah,UT,region VIII,West,Mountain,31916.699999999993,67989.59,NA,NA,16966.42,NA,884.0099999999999,NA,NA,NA,128417.74999999999
plant and fail,2012,Vermont,VT,region I,Northeast,New England,288.55,82794.41,NA,NA,258.98,NA,NA,4320.5599999999995,NA,NA,459.07000000000005
plant and fail,2012,Virgin Islands,VI,region II,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,4.23,NA
plant and fail,2012,Virginia,VA,region III,South,South Atlantic,36491.2,409016.68999999977,NA,85544.19999999998,5803.55,NA,5334.79,573771.5700000001,NA,0.1,239619.89
plant and fail,2012,Washington,WA,region X,West,Pacific,168812.33999999997,200979.09000000005,NA,NA,7667.4,NA,NA,193.7,1899.3,NA,2131424.909999998
plant and fail,2012,West Virginia,WV,region III,South,South Atlantic,2004.2000000000003,44385.100000000006,NA,NA,1216.72,NA,1112.92,20928.379999999997,NA,NA,6691.859999999999
plant and fail,2012,Wisconsin,WI,region V,North Central,East North Central,26389.559999999987,4201577.489999999,NA,NA,189119.13999999993,NA,935.2499999999999,1689777.68,4.8,NA,264293.62000000005
plant and fail,2012,Wyoming,WY,region VIII,West,Mountain,71441.52,91032.42000000001,NA,NA,21791.02,NA,158.18,NA,32308.61,NA,149211.54
plant and fail,2013,Alabama,AL,region IV,South,East South Central,104.1,271805.48999999993,NA,359846.00000000006,13661.13,NA,11434.28,411679.09,NA,1.1,258698.14999999994
plant and fail,2013,Alaska,AK,region X,West,Pacific,3403.9100000000003,NA,NA,NA,574.89,NA,NA,NA,NA,NA,43.5
plant and fail,2013,Arizona,AZ,region IX,West,Mountain,70647.39,73626.29999999999,1336.06,156123.12999999998,16136.599999999999,NA,28288.9,NA,224.5,NA,78717.81
plant and fail,2013,Arkansas,AR,region VI,South,West South Central,NA,871445.1099999999,NA,308520.42,5716.679999999999,1066269.0100000005,124185.06000000001,3241611.34,NA,NA,657869.3099999998
plant and fail,2013,California,CA,region IX,West,Pacific,80530.38000000002,507128.69000000006,177477.63,90691.45,133458.55999999997,550143.4900000001,37613.02,20.1,21336.270000000004,102.36,646809.5699999997
plant and fail,2013,Colorado,CO,region VIII,West,Mountain,54808.170000000006,1176551.91,NA,NA,44535.410000000025,NA,298709.57000000007,8881.71,27112.800000000003,NA,2203323.69
plant and fail,2013,Connecticut,CT,region I,Northeast,New England,13.1,26570.300000000003,NA,NA,39.93,NA,7.5,32.87,NA,NA,194.60000000000002
plant and fail,2013,Delaware,DE,region III,South,South Atlantic,39916.5,176279.66999999998,NA,NA,569,NA,725.3,155169.58,NA,NA,81491.43
plant and fail,2013,Florida,FL,region IV,South,South Atlantic,NA,77036.94,NA,128955.63000000002,14288.09,1530.4199999999998,9059.740000000003,30288.010000000006,NA,266984.20999999996,20043.710000000003
plant and fail,2013,Georgia,GA,region IV,South,South Atlantic,825.7999999999998,489932.7699999998,NA,1360763.53,32002.909999999985,NA,41900.62,222231.12,NA,17.4,390789.75000000023
plant and fail,2013,Guam,GU,region IX,NA,NA,NA,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA
plant and fail,2013,Idaho,ID,region X,West,Mountain,615783.45,326799.69,NA,NA,42938.600000000006,NA,1066.1699999999998,7.3,177970.68,NA,1266955.479999999
plant and fail,2013,Illinois,IL,region V,North Central,East North Central,4096.81,11780362.189999992,NA,NA,21596.26000000001,542.96,19661.05,9314829.039999995,NA,NA,831651.63
plant and fail,2013,Indiana,IN,region V,North Central,East North Central,4713.96,5916623.830000004,NA,0.05,5487.450000000002,NA,8788.589999999998,5127864.169999998,NA,NA,437289.01999999984
plant and fail,2013,Iowa,IA,region VII,North Central,West North Central,4069.9899999999993,13348307.440000001,NA,NA,142359.78,NA,2990.06,9177967.1,NA,NA,26388.049999999996
plant and fail,2013,Kansas,KS,region VII,North Central,West North Central,14875.550000000007,4206839.180000003,NA,25442.989999999994,91335.91999999994,NA,2787867.2899999996,3536174.9100000006,NA,NA,9341387.970000008
plant and fail,2013,Kentucky,KY,region IV,South,East South Central,7215.230000000001,1486658.4300000002,NA,0.71,2390.0899999999992,NA,5957.489999999999,1614870.42,NA,9.440000000000001,620794.5400000003
plant and fail,2013,Louisiana,LA,region VI,South,West South Central,NA,665225.0100000001,NA,124546.57999999999,4187.13,415734.42000000004,109054.58,1110740.49,18.61,441789.34,251756.35000000006
plant and fail,2013,Maine,ME,region I,Northeast,New England,18195.93,29599.269999999997,NA,NA,26613.96,NA,0,2151.25,NA,NA,1846.6499999999999
plant and fail,2013,Maryland,MD,region III,South,South Atlantic,71578.17,434565.48,NA,NA,6210.869999999999,NA,19110.23,468744.07,NA,NA,334214.0899999999
plant and fail,2013,Massachusetts,MA,region I,Northeast,New England,52.120000000000005,17848.27,NA,NA,103.23,NA,NA,465.9,NA,NA,77.21999999999998
plant and fail,2013,Michigan,MI,region V,North Central,East North Central,6884.370000000001,2506523.129999998,NA,NA,32706.01000000002,NA,770.22,1827293.2199999997,153518.30999999994,NA,575024.7200000004
plant and fail,2013,Minnesota,MN,region V,North Central,West North Central,80169.99000000003,8530138.88,NA,NA,153419.67,NA,2932.55,6603434.410000003,462550.92,NA,1170255.8200000005
plant and fail,2013,Mississippi,MS,region IV,South,East South Central,NA,822463.32,NA,284438.39,2887.599999999999,122662.75,57486.30999999998,1987889.1700000006,34,NA,375264.94999999995
plant and fail,2013,Missouri,MO,region VII,North Central,West North Central,6140.450000000002,3261457.0199999996,NA,253327.49000000002,7528.410000000001,156427.4,63358.82000000002,5563926.250000001,NA,NA,1024741.2199999992
plant and fail,2013,Montana,MT,region VIII,West,Mountain,929314.5200000004,112104.38000000006,NA,NA,43367.17000000001,NA,555.21,9889.580000000002,44114.53,NA,5211060.69
plant and fail,2013,Nebraska,NE,region VII,North Central,West North Central,5810.749999999998,9910369.339999998,NA,NA,137836.05000000002,NA,130685.12,4735386.199999999,45516.49,NA,1445445.87
plant and fail,2013,Nevada,NV,region IX,West,Mountain,1043.55,3013.3,NA,NA,1344.7700000000002,NA,188.57,NA,NA,NA,20923.000000000004
plant and fail,2013,New Hampshire,NH,region I,Northeast,New England,NA,12839.259999999998,NA,NA,35.72,NA,12,81.77,NA,NA,NA
plant and fail,2013,New Jersey,NJ,region II,Northeast,Middle Atlantic,4301.64,84399.76000000001,NA,NA,1591.33,NA,729.9100000000001,86358.98999999999,14.75,NA,26238.64
plant and fail,2013,New Mexico,NM,region VI,West,Mountain,11555.410000000002,117023.38,3393.9700000000003,38920.7,5075.12,NA,110373.65000000001,20.05,61.5,NA,427534.6999999999
plant and fail,2013,New York,NY,region II,Northeast,Middle Atlantic,7578.359999999999,1066792.6500000001,NA,NA,52343.87,2.7,826.6899999999998,265904.5,NA,NA,102325.58999999998
plant and fail,2013,North Carolina,NC,region IV,South,South Atlantic,16068.550000000003,903045.7999999998,NA,460273.68000000005,15487.030000000004,NA,79187.48999999999,1445097.25,0.25,NA,913592.2599999998
plant and fail,2013,North Dakota,ND,region VIII,North Central,West North Central,681838.04,3719478.2099999995,NA,NA,194276.52000000002,NA,1508.7599999999998,4593766.75,225586.21,NA,5985801.930000001
plant and fail,2013,Ohio,OH,region V,North Central,East North Central,4052.5600000000013,3752481.5200000014,NA,NA,19712.339999999997,NA,634.2099999999999,4389937.720000001,1.32,NA,624035.2700000003
plant and fail,2013,Oklahoma,OK,region VI,South,West South Central,25472.020000000004,340210.82999999984,NA,177331.98000000007,31197.480000000018,NA,294798.16000000003,334520.47000000003,3,NA,5359375.640000002
plant and fail,2013,Oregon,OR,region X,West,Pacific,53945.229999999996,96996.31000000001,NA,NA,19232.120000000003,NA,245.83999999999997,80.44,11120.55,NA,782316.6299999998
plant and fail,2013,Pennsylvania,PA,region III,Northeast,Middle Atlantic,41277.340000000026,960446.8499999996,NA,NA,49181.38999999998,NA,2413.4100000000003,448929.74,NA,NA,130665.44999999998
plant and fail,2013,Puerto Rico,PR,region II,NA,NA,NA,5.9399999999999995,NA,NA,NA,NA,NA,NA,NA,2,NA
plant and fail,2013,Rhode Island,RI,region I,Northeast,New England,NA,1526.2200000000003,NA,NA,2,NA,NA,13.92,NA,NA,NA
plant and fail,2013,South Carolina,SC,region IV,South,South Atlantic,984.71,316403.4999999999,NA,255251.40999999997,12924.960000000001,29.1,17306.9,301716.7200000001,NA,3.3,258848.96000000002
plant and fail,2013,South Dakota,SD,region VIII,North Central,West North Central,34123.98999999998,6064647.54,NA,NA,246925.84000000008,NA,245838.13000000006,4509973.45,282.89,NA,2412718.869999998
plant and fail,2013,Tennessee,TN,region IV,South,East South Central,2125.6,841245.54,NA,245149.35,3133.8300000000004,78,16996.500000000004,1505294.7700000003,NA,NA,555958.3099999998
plant and fail,2013,Texas,TX,region VI,South,West South Central,49050.14000000001,2242049.65,8190.22,5697777.949999998,286556.4199999999,143359,2861037.64,98922.93000000004,NA,32428.29,5911005.419999998
plant and fail,2013,Utah,UT,region VIII,West,Mountain,29486.67999999999,61305.810000000005,NA,NA,16937.83,NA,786.65,30.89,NA,NA,123890.44000000006
plant and fail,2013,Vermont,VT,region I,Northeast,New England,179.36,83574.03000000001,NA,NA,357.39,NA,NA,3835.36,NA,NA,463.44
plant and fail,2013,Virgin Islands,VI,region II,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,3.9,NA
plant and fail,2013,Virginia,VA,region III,South,South Atlantic,50483.95999999999,412199.41999999987,NA,77456.65999999999,4299.71,NA,11522.440000000002,584666.3399999997,NA,NA,288223.2600000002
plant and fail,2013,Washington,WA,region X,West,Pacific,183711.19000000003,210315.4,NA,NA,7563.8200000000015,NA,26.56,257.85,1131.77,NA,2145392.5800000005
plant and fail,2013,West Virginia,WV,region III,South,South Atlantic,2260.87,46940.94,NA,NA,1090.07,NA,590.36,21998.719999999998,NA,NA,6704.419999999999
plant and fail,2013,Wisconsin,WI,region V,North Central,East North Central,27197.29000000001,3948016.410000003,NA,NA,207370.83,NA,2961.9600000000005,1556288.1199999999,128.1,NA,308356.21999999974
plant and fail,2013,Wyoming,WY,region VIII,West,Mountain,73327.63999999998,87416.76999999997,NA,NA,22866.88,NA,832.86,17,30519.27,NA,152776.73
plant and fail,2014,Alabama,AL,region IV,South,East South Central,NA,247344.22000000012,NA,348568.62999999995,16234.310000000003,15,11014.429999999997,453621.48999999993,NA,4.1,213279.5099999999
plant and fail,2014,Alaska,AK,region X,West,Pacific,5223.99,NA,NA,NA,1394.41,NA,NA,NA,NA,NA,211.89
plant and fail,2014,Arizona,AZ,region IX,West,Mountain,33728.87000000001,70070.75,14322.240000000002,145551.73,20239.74,NA,22060.51,NA,1186.8899999999999,NA,78259.06
plant and fail,2014,Arkansas,AR,region VI,South,West South Central,39,536235.6799999999,NA,331083.89999999997,8704.979999999998,1475382.78,160667.88000000003,3200783.900000002,NA,NA,450956.3699999998
plant and fail,2014,California,CA,region IX,West,Pacific,63407.15,376521.60000000003,146539.33,55230.69,91101.47999999998,413409.32999999996,50026.06,NA,22370.18,421.35,492678.1199999999
plant and fail,2014,Colorado,CO,region VIII,West,Mountain,49220.46,1113769.81,NA,NA,34436.01000000002,NA,246305.7,14304.37,29456.53,NA,2516567.049999999
plant and fail,2014,Connecticut,CT,region I,Northeast,New England,NA,25827.44,NA,NA,51.099999999999994,NA,NA,396.40000000000003,NA,NA,117.92
plant and fail,2014,Delaware,DE,region III,South,South Atlantic,38042.619999999995,162798.53999999998,NA,NA,187.83,NA,1284.1299999999999,173282.05999999997,NA,NA,74407.55
plant and fail,2014,Florida,FL,region IV,South,South Atlantic,NA,53177.48999999999,NA,105408.63,14571.94,5293.4,5906.8099999999995,36791.32,NA,124988.21,10266.44
plant and fail,2014,Georgia,GA,region IV,South,South Atlantic,997.4199999999998,343573.1299999999,NA,1367319,42552.54000000001,NA,27438.229999999996,288859.8600000001,NA,24.159999999999997,266343.78999999986
plant and fail,2014,Guam,GU,region IX,NA,NA,NA,3.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
plant and fail,2014,Idaho,ID,region X,West,Mountain,554566.4800000001,268448.52,NA,NA,43209.71000000002,NA,822.78,468.56,161420.07,NA,1188865.5899999996
plant and fail,2014,Illinois,IL,region V,North Central,East North Central,1572.6599999999999,11693394.619999997,NA,NA,23294.989999999998,1195.48,20420.06999999999,9609155.659999996,NA,NA,682477.1499999996
plant and fail,2014,Indiana,IN,region V,North Central,East North Central,1853.4399999999996,5701738.729999995,NA,NA,6125.539999999998,NA,7970.88,5386778.7799999975,NA,NA,351571.2700000002
plant and fail,2014,Iowa,IA,region VII,North Central,West North Central,2917.4200000000005,13410539.97,NA,NA,135172.16999999998,NA,2198.0600000000004,9720537.39,0.86,NA,18763.51999999999
plant and fail,2014,Kansas,KS,region VII,North Central,West North Central,14385.640000000007,3979233.9599999986,NA,29403.07,75025.82000000002,NA,2516038.48,3920874.4299999992,NA,NA,9165272.77
plant and fail,2014,Kentucky,KY,region IV,South,East South Central,8037.570000000001,1449336.7500000005,NA,0.83,1739.93,NA,7327.109999999999,1720281.0999999999,NA,6.71,526129.8300000001
plant and fail,2014,Louisiana,LA,region VI,South,West South Central,186.8,392397.75999999995,NA,165451.91999999993,4707.35,457819.43999999994,95694.16,1388060.4000000001,NA,415509.1100000001,153527.73
plant and fail,2014,Maine,ME,region I,Northeast,New England,11980.39,29091.619999999995,NA,NA,31736.540000000005,NA,NA,2353.7,1.7,NA,2592.7
plant and fail,2014,Maryland,MD,region III,South,South Atlantic,65363.07,405101.25,NA,NA,4346.1500000000015,NA,13548.440000000006,498092.62999999995,NA,NA,326847.47
plant and fail,2014,Massachusetts,MA,region I,Northeast,New England,47.6,17866.960000000003,NA,NA,155.51,NA,23.729999999999997,812.13,NA,NA,204.14000000000001
plant and fail,2014,Michigan,MI,region V,North Central,East North Central,6005.789999999999,2138217.0900000003,NA,NA,37709.94999999999,NA,401.65999999999997,1903708.3899999992,145366.61000000004,NA,498928.66
plant and fail,2014,Minnesota,MN,region V,North Central,West North Central,66408.71,7907431.289999998,NA,NA,155846.09000000008,NA,2139.16,7238381.730000007,439351.39999999997,NA,1205093.95
plant and fail,2014,Mississippi,MS,region IV,South,East South Central,NA,488102.0500000002,NA,416845.4999999999,1083.1899999999998,186519.45000000004,99425.70999999998,2189613.5100000007,NA,NA,217136.09000000003
plant and fail,2014,Missouri,MO,region VII,North Central,West North Central,4104.47,3380904.929999997,NA,247626.26,10887.039999999997,213782.66000000003,72107.94999999997,5592735.23,NA,NA,805395.3099999999
plant and fail,2014,Montana,MT,region VIII,West,Mountain,853088.91,117582.93999999999,NA,NA,40200.860000000015,NA,1169.1299999999999,21384.449999999997,45033.69,NA,5796439.569999999
plant and fail,2014,Nebraska,NE,region VII,North Central,West North Central,6576.3200000000015,9291434.63,NA,NA,96692.50999999995,NA,121033.82000000005,5342598.209999998,48564.979999999996,NA,1500758.1499999994
plant and fail,2014,Nevada,NV,region IX,West,Mountain,684.72,667.3199999999999,NA,NA,735.6499999999999,NA,134.56,NA,NA,NA,12780.119999999997
plant and fail,2014,New Hampshire,NH,region I,Northeast,New England,NA,13814.140000000001,NA,NA,41.84,NA,12,103.96,NA,NA,NA
plant and fail,2014,New Jersey,NJ,region II,Northeast,Middle Atlantic,3513.95,68908.37000000002,NA,NA,1223.4300000000003,NA,1259.71,102306.65999999999,25.5,NA,23272.479999999996
plant and fail,2014,New Mexico,NM,region VI,West,Mountain,14157.98,119555.86000000002,5179.4800000000005,44763.43,4171.2300000000005,NA,96763.05999999997,NA,NA,NA,367463.18000000005
plant and fail,2014,New York,NY,region II,Northeast,Middle Atlantic,6228.860000000002,989745.4900000003,NA,NA,43521.86,2.7,885.7099999999999,317543.64999999985,NA,NA,96510.56999999998
plant and fail,2014,North Carolina,NC,region IV,South,South Atlantic,17398.400000000005,777259.8999999999,NA,459992.29,15355.580000000002,NA,26689.260000000002,1728064.6400000004,0.5,3,769784.4099999996
plant and fail,2014,North Dakota,ND,region VIII,North Central,West North Central,570639.2800000003,2709047.1700000004,NA,NA,202016.7800000001,NA,583.52,5830628,213434.15,NA,7543183.89
plant and fail,2014,Ohio,OH,region V,North Central,East North Central,3122.3599999999997,3492590.11,NA,NA,15673.909999999993,NA,667.48,4616077.160000002,NA,NA,561807.2800000001
plant and fail,2014,Oklahoma,OK,region VI,South,West South Central,25930.93999999999,286723.3200000002,NA,232662.16000000003,19900.36,NA,346966.9799999999,356651.36,NA,NA,5147231.699999999
plant and fail,2014,Oregon,OR,region X,West,Pacific,42053.22000000001,70033.69000000003,NA,NA,15377.969999999996,NA,233.60000000000002,497.17999999999995,6955.99,NA,747489.1900000003
plant and fail,2014,Pennsylvania,PA,region III,Northeast,Middle Atlantic,38786.109999999986,883874.8799999997,NA,NA,44630.629999999976,NA,3235.6499999999996,484545.7499999999,NA,NA,131689.25999999998
plant and fail,2014,Puerto Rico,PR,region II,NA,NA,NA,194.81,NA,NA,NA,3.52,15.42,13.29,NA,78,NA
plant and fail,2014,Rhode Island,RI,region I,Northeast,New England,NA,1632.25,NA,NA,85.07000000000001,NA,11.24,3.01,NA,NA,NA
plant and fail,2014,South Carolina,SC,region IV,South,South Atlantic,853.0900000000001,262488.2600000001,NA,276783.69999999995,13787.150000000001,71.34,14616.829999999998,427132.9999999999,NA,9.26,209837.24000000002
plant and fail,2014,South Dakota,SD,region VIII,North Central,West North Central,25915.330000000013,5604189.240000001,NA,NA,237117.22999999992,NA,141485.15999999992,5068206.120000001,105,NA,2389485.8800000004
plant and fail,2014,Tennessee,TN,region IV,South,East South Central,2580.58,803351.8599999998,NA,267040.89,2649.7099999999996,510.55,33567.880000000005,1553618.1100000003,NA,NA,464028.89999999985
plant and fail,2014,Texas,TX,region VI,South,West South Central,48268.650000000016,2167527.130000001,16390.94,6088014.290000004,296659.39,147467.87999999998,2375712.69,146549.70999999993,110,31003.9,5573070.369999999
plant and fail,2014,Utah,UT,region VIII,West,Mountain,23682.469999999998,40032.56,NA,NA,11459.220000000001,NA,807.3100000000001,99.09,NA,NA,118508.59
plant and fail,2014,Vermont,VT,region I,Northeast,New England,147.93,83818.13,NA,NA,283.61,NA,71.95,5135.82,NA,NA,570.3599999999999
plant and fail,2014,Virgin Islands,VI,region II,NA,NA,NA,3.28,NA,NA,NA,NA,NA,NA,NA,4.17,NA
plant and fail,2014,Virginia,VA,region III,South,South Atlantic,40159.97000000001,364909.9699999999,NA,85833.34,4212.04,NA,9430.789999999999,629197.8200000002,NA,NA,250440.59999999998
plant and fail,2014,Washington,WA,region X,West,Pacific,105790.78000000003,182148.05999999997,NA,NA,10346.26,NA,57.15,219.29000000000002,866.35,NA,2203489.2200000007
plant and fail,2014,West Virginia,WV,region III,South,South Atlantic,2470.6400000000003,42958.35999999999,NA,NA,1086.85,NA,331.9,26241.33,NA,NA,7026.259999999998
plant and fail,2014,Wisconsin,WI,region V,North Central,East North Central,21833.810000000005,3861924.870000002,NA,NA,214170.56000000008,NA,2313.92,1760290.1300000006,16.36,NA,275535.90000000014
plant and fail,2014,Wyoming,WY,region VIII,West,Mountain,71618.34000000001,76993.87000000001,NA,NA,23502.190000000002,NA,451.32000000000005,353,30661.97,NA,140378.19000000003
plant and fail,2015,Alabama,AL,region IV,South,East South Central,163.12,219510.72999999995,NA,311464.36499999993,21647.01,NA,20188.17000000001,473614.144,NA,NA,190763.69499999998
plant and fail,2015,Alaska,AK,region X,West,Pacific,4217.03,0.96,NA,NA,1105.59,NA,NA,NA,NA,NA,195.23999999999998
plant and fail,2015,Arizona,AZ,region IX,West,Mountain,15271.390000000003,68243.22,16662.53,84279.57000000002,16242.970000000001,NA,20734.07,451.21,1192.0900000000001,NA,148588.37
plant and fail,2015,Arkansas,AR,region VI,South,West South Central,48.25,459551.89000000013,NA,207105.35999999996,6459.779999999998,1299164.4580000006,429849.95,3190481.1299999994,NA,NA,342036.84
plant and fail,2015,California,CA,region IX,West,Pacific,65159.499999999985,347844.75,114694.49999999999,40067.723999999995,107302.59999999999,409604.104,57370.56,19.51,17492.670000000002,205.79,482094.16
plant and fail,2015,Colorado,CO,region VIII,West,Mountain,57855.68,1075360.1300000001,NA,NA,35661.119999999995,NA,367489.36000000016,14361.46,27211.36,NA,2333211.2900000005
plant and fail,2015,Connecticut,CT,region I,Northeast,New England,9.469999999999999,25854.789999999997,NA,NA,118.53,NA,34.34,225.85999999999999,NA,NA,96
plant and fail,2015,Delaware,DE,region III,South,South Atlantic,30806.43,164428.16999999998,NA,NA,218.87000000000003,NA,1716.19,168259.12000000002,NA,NA,67271.73999999999
plant and fail,2015,Florida,FL,region IV,South,South Atlantic,NA,58456.18999999998,NA,83951.01000000001,17410.120000000003,19466.37,3155.560000000001,31757.600000000002,NA,404583.53,5661.63
plant and fail,2015,Georgia,GA,region IV,South,South Atlantic,213.55,322934.86999999994,120,1118047.8940000003,45859.18000000003,NA,37282.31000000001,312689.2800000003,NA,15.160000000000002,192890.81000000008
plant and fail,2015,Guam,GU,region IX,NA,NA,NA,2.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
plant and fail,2015,Idaho,ID,region X,West,Mountain,577914.3700000002,259866.82,NA,NA,40717.639999999985,NA,1874.6100000000004,18.27,170121.1,NA,1166218.9999999998
plant and fail,2015,Illinois,IL,region V,North Central,East North Central,1372.89,11473365.101399992,NA,2.5,21559.64000000001,818.69,33360.71,9647095.746999998,NA,NA,484774.01
plant and fail,2015,Indiana,IN,region V,North Central,East North Central,1728.2200000000003,5564777.1175000025,NA,NA,5105.4500000000035,NA,10895.360000000002,5491111.625999999,NA,NA,277821.66
plant and fail,2015,Iowa,IA,region VII,North Central,West North Central,2222.6800000000003,13223544.801000003,NA,NA,121261.64299999991,NA,3000.339999999999,9722137.999000002,NA,NA,17604.159999999996
plant and fail,2015,Kansas,KS,region VII,North Central,West North Central,11638.389999999998,4083125.5239999983,NA,15070.130000000003,84106.56000000001,NA,3054324.264000001,3851907.7989999983,NA,NA,9051335.619999994
plant and fail,2015,Kentucky,KY,region IV,South,East South Central,5531.2699999999995,1348576.1963999989,NA,0.6,1799.4699999999996,NA,28910.759999999995,1796387.3509999993,NA,2.2,490416.61999999994
plant and fail,2015,Louisiana,LA,region VI,South,West South Central,148.7,393607.12100000004,NA,109634.93400000004,3588.26,414070.75,73815.21,1410344.5059999998,NA,410621.96,102717.13999999997
plant and fail,2015,Maine,ME,region I,Northeast,New England,12101.419999999998,28595.069999999992,NA,NA,28930.28,NA,NA,1604.3500000000001,NA,NA,939.1500000000001
